timestamp,bus_stop,service,eta_minutes,prev_eta_minutes,eta_change_minutes,eta_volatility
2025-11-17 20:17:17.362538,1029,7A,18,null,null,null
2025-11-18 05:56:21.997116,1029,7A,27,18,9,9
2025-11-16 18:25:35.802426,1113,51,8,null,null,null
2025-11-16 18:25:35.802426,1113,51,18,8,10,10
2025-11-16 18:25:35.802426,1113,51,26,18,8,8
2025-11-16 21:41:24.319617,1113,51,0,26,-26,26
2025-11-16 21:41:24.319617,1113,51,11,0,11,11
2025-11-16 21:41:24.319617,1113,51,20,11,9,9
2025-11-17 07:20:17.357588,1113,51,2,20,-18,18
2025-11-17 07:20:17.357588,1113,51,10,2,8,8
2025-11-17 07:20:17.357588,1113,51,21,10,11,11
2025-11-17 10:35:51.40738,1113,51,3,21,-18,18
2025-11-17 10:35:51.40738,1113,51,15,3,12,12
2025-11-17 10:35:51.40738,1113,51,30,15,15,15
2025-11-17 13:49:44.756492,1113,51,7,30,-23,23
2025-11-17 13:49:44.756492,1113,51,20,7,13,13
2025-11-17 13:49:44.756492,1113,51,37,20,17,17
2025-11-17 17:03:34.341151,1113,51,7,37,-30,30
2025-11-17 17:03:34.341151,1113,51,26,7,19,19
2025-11-17 17:03:34.341151,1113,51,26,26,0,0
