service,weekday,hour,avg_eta,eta_variability
10,1,18,17.875,13.32500177369247
10,1,21,19.547445255474454,12.48323171440207
10,1,22,20.572413793103447,12.068522433026965
10,2,0,12.520833333333334,8.055629941777692
10,2,6,14.603174603174603,9.604333166118103
10,2,7,16.378666666666668,10.593640173293227
10,2,9,21.0,15.0
10,2,10,19.254691689008045,12.542701717323204
10,2,13,20.9,12.533996779511996
10,2,14,16.525641025641026,11.041533739855646
10,2,16,17.30316742081448,12.229005717184604
10,2,17,13.24102564102564,8.964325572136294
10,2,19,23.456521739130434,12.31026043905224
10,2,20,20.80243161094225,13.201089900347107
10,2,22,16.0,14.77449539868331
10,2,23,15.174311926605505,11.35505249949593
10,3,5,22.386666666666667,12.661725163512713
10,3,6,18.993630573248407,11.58939436443699
10,3,8,13.575757575757576,9.903443161072751
10,3,9,15.634868421052632,10.671894922494095
10,3,11,14.133333333333333,11.45716660726668
10,3,12,19.71645569620253,13.102121639907827
10,3,15,14.49402390438247,10.130101882183927
10,3,16,17.75,9.995240802986059
10,3,18,18.589211618257263,11.160632439929103
10,3,19,16.35185185185185,11.642966166128703
10,4,11,19.19148936170213,12.00839977369526
10,4,12,14.156626506024097,11.66188500560262
10,4,13,8.0,7.302967433402215
100,1,18,20.495238095238093,12.313390858762146
100,1,20,18.365079365079364,11.795709426766004
100,1,21,17.460732984293195,11.468826282667793
100,1,22,21.56923076923077,11.725998399349132
100,1,23,16.4375,12.263597895125777
100,2,0,15.6875,12.434181556006893
100,2,6,13.787234042553191,9.611677866376956
100,2,7,14.56221198156682,9.465681222733595
100,2,9,14.935483870967742,9.20240696906661
100,2,10,13.724409448818898,8.640082313100006
100,2,11,15.666666666666666,9.048020041239225
100,2,12,11.037037037037036,8.711095848582477
100,2,13,16.426751592356688,12.009186559301314
100,2,14,12.69811320754717,11.736933818239269
100,2,15,12.458333333333334,8.1932059163923
100,2,16,10.530864197530864,8.743692612039103
100,2,17,10.068493150684931,6.6242439771983275
100,2,19,12.952380952380953,10.899348033060855
100,2,20,19.5,12.28218680349946
100,2,22,17.634920634920636,10.941636351203904
100,2,23,20.19047619047619,12.44564164112133
