id,timestamp,bus_stop,service,estimated,eta_seconds,hour,minute,weekday,eta_minutes,prev_eta_minutes,eta_change_minutes
1,2025-11-16T17:38:08.133Z,1012,12,2025-11-16T09:46:30.000Z,501.866662,17,38,1,8.364444366666667,,
19507,2025-11-16T19:39:40.876Z,1012,12,2025-11-16T11:59:47.000Z,1206.123839,19,39,1,20.102063983333334,8.364444366666667,11.737619616666667
38890,2025-11-16T20:42:40.045Z,1012,12,2025-11-16T12:43:58.000Z,77.954278,20,42,1,1.2992379666666667,20.102063983333334,-18.802826016666668
7,2025-11-16T17:38:08.133Z,1012,51,2025-11-16T09:52:24.000Z,855.866662,17,38,1,14.264444366666668,,
19513,2025-11-16T19:39:40.876Z,1012,51,2025-11-16T11:52:38.000Z,777.123839,19,39,1,12.952063983333334,14.264444366666668,-1.312380383333334
38896,2025-11-16T20:42:40.045Z,1012,51,2025-11-16T12:45:15.000Z,154.954278,20,42,1,2.5825712999999997,12.952063983333334,-10.369492683333334
16,2025-11-16T17:38:08.133Z,1013,851,2025-11-16T09:37:37.000Z,-31.133338,17,38,1,-0.5188889666666666,,
19522,2025-11-16T19:39:40.876Z,1013,851,2025-11-16T11:40:05.000Z,24.123839,19,39,1,0.4020639833333333,-0.5188889666666666,0.92095295
38905,2025-11-16T20:42:40.045Z,1013,851,2025-11-16T12:46:31.000Z,230.954278,20,42,1,3.8492379666666663,0.4020639833333333,3.447173983333333
17,2025-11-16T17:38:08.133Z,1013,851e,2025-11-16T09:43:26.000Z,317.866662,17,38,1,5.2977777,,
19523,2025-11-16T19:39:40.876Z,1013,851e,2025-11-16T11:40:36.000Z,55.123839,19,39,1,0.91873065,5.2977777,-4.3790470500000005
38,2025-11-16T17:38:08.133Z,1029,851e,2025-11-16T10:19:49.000Z,2500.866662,17,38,1,41.68111103333333,,
40,2025-11-16T17:38:08.133Z,1039,175,2025-11-16T09:45:22.000Z,433.866662,17,38,1,7.231111033333334,,
19543,2025-11-16T19:39:40.876Z,1039,175,2025-11-16T12:02:09.000Z,1348.123839,19,39,1,22.46873065,7.231111033333334,15.237619616666667
38925,2025-11-16T20:42:40.045Z,1039,175,2025-11-16T13:00:15.000Z,1054.954278,20,42,1,17.582571299999998,22.46873065,-4.886159350000003
48,2025-11-16T17:38:08.133Z,1039,851,2025-11-16T09:41:23.000Z,194.866662,17,38,1,3.2477777,,
19551,2025-11-16T19:39:40.876Z,1039,851,2025-11-16T11:41:59.000Z,138.123839,19,39,1,2.3020639833333334,3.2477777,-0.9457137166666665
38933,2025-11-16T20:42:40.045Z,1039,851,2025-11-16T12:42:57.000Z,16.954278,20,42,1,0.28257129999999997,2.3020639833333334,-2.0194926833333335
50,2025-11-16T17:38:08.133Z,1059,12,2025-11-16T09:46:15.000Z,486.866662,17,38,1,8.114444366666667,,
19552,2025-11-16T19:39:40.876Z,1059,12,2025-11-16T11:50:51.000Z,670.123839,19,39,1,11.168730649999999,8.114444366666667,3.0542862833333313
38935,2025-11-16T20:42:40.045Z,1059,12,2025-11-16T12:45:48.000Z,187.954278,20,42,1,3.1325713,11.168730649999999,-8.036159349999998
57,2025-11-16T17:38:08.133Z,1109,170,2025-11-16T09:40:00.000Z,111.866662,17,38,1,1.8644443666666668,,
19558,2025-11-16T19:39:40.876Z,1109,170,2025-11-16T11:40:00.000Z,19.123839,19,39,1,0.31873065,1.8644443666666668,-1.5457137166666668
38941,2025-11-16T20:42:40.045Z,1109,170,2025-11-16T13:00:00.000Z,1039.954278,20,42,1,17.332571299999998,0.31873065,17.01384065
76,2025-11-16T17:38:08.133Z,1113,51,2025-11-16T09:38:20.000Z,11.866662,17,38,1,0.1977777,,
19577,2025-11-16T19:39:40.876Z,1113,51,2025-11-16T11:55:53.000Z,972.123839,19,39,1,16.202063983333332,0.1977777,16.004286283333332
38959,2025-11-16T20:42:40.045Z,1113,51,2025-11-16T12:48:19.000Z,338.954278,20,42,1,5.649237966666666,16.202063983333332,-10.552826016666666
79,2025-11-16T17:38:08.133Z,1119,12e,2025-11-16T10:14:39.000Z,2190.866662,17,38,1,36.514444366666666,,
86,2025-11-16T17:38:08.133Z,1121,12,2025-11-16T09:40:09.000Z,120.866662,17,38,1,2.014444366666667,,
19585,2025-11-16T19:39:40.876Z,1121,12,2025-11-16T11:41:07.000Z,86.123839,19,39,1,1.4353973166666667,2.014444366666667,-0.5790470500000002
38967,2025-11-16T20:42:40.045Z,1121,12,2025-11-16T12:50:07.000Z,446.954278,20,42,1,7.449237966666667,1.4353973166666667,6.013840650000001
87,2025-11-16T17:38:08.133Z,1121,130,2025-11-16T09:43:18.000Z,309.866662,17,38,1,5.164444366666667,,
19586,2025-11-16T19:39:40.876Z,1121,130,2025-11-16T11:52:49.000Z,788.123839,19,39,1,13.135397316666666,5.164444366666667,7.970952949999998
38968,2025-11-16T20:42:40.045Z,1121,130,2025-11-16T12:55:50.000Z,789.954278,20,42,1,13.165904633333334,13.135397316666666,0.03050731666666806
88,2025-11-16T17:38:08.133Z,1121,133,2025-11-16T09:39:25.000Z,76.866662,17,38,1,1.2811110333333333,,
