service,avg_eta_drift,drift_variability,avg_volatility
85A,42.0,,42.0
58B,38.0,,38.0
139A,37.666666666666664,0.5773502691896257,37.666666666666664
9B,36.25,0.9574271077563381,36.25
95B,33.57142857142857,0.5345224838248486,33.57142857142857
502A,27.428571428571427,12.71294803021894,27.428571428571427
60T,25.0,8.067893720848652,25.0
159B,25.0,0.0,25.0
173A,24.857142857142858,0.3779644730092272,24.857142857142858
58A,23.3,4.105195680956921,23.3
34B,21.88888888888889,0.6009252125773314,21.88888888888889
71A,20.77777777777778,5.8261860976495115,20.77777777777778
29A,20.666666666666668,25.311394008759507,31.0
127A,20.0,0.0,20.0
973A,20.0,0.0,20.0
854e,20.0,,20.0
676,18.75,1.2583057392117916,18.75
671,18.5625,10.171651783265094,18.5625
97e,18.2,4.559189280623445,18.2
88B,17.714285714285715,3.87156441106318,17.714285714285715
79T,17.625,0.5175491695067661,17.625
154A,17.53846153846154,7.975121572901827,17.53846153846154
92A,17.1,0.3162277660168378,17.1
51A,17.0,0.0,17.0
78A,16.8,2.573367875415838,16.8
18A,16.642857142857142,2.239750771064387,16.642857142857142
62A,14.961538461538462,18.926028905603694,21.692307692307693
991A,14.8,0.4472135954999579,14.8
661,14.666666666666666,4.618802153517006,14.666666666666666
966A,14.555555555555555,10.824428574675617,17.77777777777778
663,14.5,2.8216198293778807,14.5
68B,14.416666666666666,5.961365513695565,14.416666666666666
656,14.285714285714286,0.7559289460184545,14.285714285714286
105B,14.0,0.6123724356957946,14.0
974A,14.0,1.4142135623730951,14.0
222A,13.823529411764707,8.323425482618672,13.823529411764707
137A,13.6,0.5163977794943221,13.6
145A,13.5,4.700096710803842,13.5
925M,13.5,0.5773502691896255,13.5
36A,13.39622641509434,7.357203750384613,13.660377358490566
9A,13.153846153846153,5.459642140991689,13.153846153846153
667,12.875,1.457737973711325,12.875
86B,12.875,8.123012577445225,12.875
30e,12.821428571428571,3.438324871514895,12.821428571428571
5B,12.764705882352942,15.71038435145965,19.352941176470587
7A,12.380952380952381,6.826014213732853,12.412698412698413
129B,12.222222222222221,28.18145568355979,29.11111111111111
73T,12.176470588235293,9.084569982377035,14.647058823529411
675,12.0,0.7071067811865478,12.0
15A,11.909090909090908,1.868397465987655,11.909090909090908
965T,11.869565217391305,12.549191744440563,15.0
670,11.727272727272727,0.7862453931068963,11.727272727272727
131A,11.5,6.214309861828869,11.5
386A,11.375,26.19382878974868,27.0
14e,11.256410256410257,0.9095385966738333,11.256410256410257
811A,11.117647058823529,11.02549306499275,11.470588235294118
45A,11.0,0.0,11.0
125A,11.0,0.0,11.0
10e,10.96,6.3373206209770725,11.88
652,10.88888888888889,2.9931137898065554,10.88888888888889
163A,10.777777777777779,14.562399941750401,17.055555555555557
158A,10.674418604651162,19.09963965034364,20.441860465116278
660M,10.666666666666666,0.5773502691896257,10.666666666666666
660,10.571428571428571,4.649628761422531,10.571428571428571
674,10.551724137931034,3.4182932969596704,10.551724137931034
50A,10.205882352941176,16.954090257828295,17.970588235294116
963e,10.095238095238095,19.219533714179338,19.428571428571427
94A,10.05,0.9445132413883326,10.05
33A,9.857142857142858,10.647189176615457,13.714285714285714
96B,9.8,3.547299442298794,9.8
871A,9.7,6.954799117820066,11.55
868E,9.6,7.011102306738617,9.6
668,9.2,3.6514837167011076,9.2
39B,8.916666666666666,1.2401124093721454,8.916666666666666
112B,8.866666666666667,9.948917146149745,11.933333333333334
106A,8.647058823529411,3.040172208744684,8.647058823529411
655,8.642857142857142,4.06877684998146,8.642857142857142
188e,8.58974358974359,7.35103984308539,10.128205128205128
183B,8.4,0.5982430416161189,8.4
86A,8.307692307692308,1.4935759876113537,8.307692307692308
850E,8.25,1.707825127659933,8.25
60A,8.09375,19.00485400644929,19.71875
856C,7.9,19.86772044773818,19.1
70B,7.894736842105263,2.53628636750894,7.894736842105263
975C,7.838709677419355,0.4543694673976518,7.838709677419355
196A,7.786516853932584,9.127221908953507,9.44943820224719
102A,7.758620689655173,9.148205024616239,10.931034482758621
90A,7.75,14.437104972950776,14.460526315789474
163B,7.6375,16.756063516141314,15.2625
807B,7.48,0.5859465277082316,7.48
174e,7.196078431372549,12.560285996494088,12.92156862745098
859T,7.1208791208791204,13.403013893926301,14.505494505494505
653,7.119047619047619,5.623133320413143,8.119047619047619
3A,7.073394495412844,13.407230237076165,14.009174311926605
222B,6.896551724137931,23.53317540893252,20.0
982E,6.8,10.77419757259599,12.16
168A,6.714285714285714,21.68809872657413,20.142857142857142
983M,6.666666666666667,1.5275252316519468,6.666666666666667
109A,6.602941176470588,16.200368252569945,16.544117647058822
853M,6.3959899749373434,13.628914871064142,13.573934837092732
43e,6.311111111111111,20.18643265889403,19.91111111111111
89A,6.214285714285714,1.05090228108783,6.214285714285714
179A,6.181818181818182,1.7357957866601164,6.181818181818182
196e,6.136363636363637,0.7743171827921034,6.136363636363637
181M,5.823529411764706,6.147213620341955,6.098039215686274
7B,5.571428571428571,22.228491179246063,18.0
240M,5.516666666666667,20.828184674525964,19.916666666666668
961M,5.4728682170542635,18.585522409940445,17.72609819121447
70A,5.454545454545454,15.177089837780363,15.151515151515152
518A,5.428571428571429,28.791533146957992,27.142857142857142
858A,5.3125,11.312130025520645,11.3125
39A,5.0,13.730488548827157,13.9
268B,4.892857142857143,26.0389157277167,24.25
89e,4.829268292682927,11.22986892254727,10.0
860T,4.794117647058823,15.447458209738333,14.647058823529411
36B,4.732142857142857,9.622872509010776,9.803571428571429
178A,4.714285714285714,13.148193792304706,10.46938775510204
856A,4.633333333333334,8.640255956191677,8.3
159A,4.593333333333334,16.48554244238529,15.113333333333333
249A,4.5,8.729406145069069,9.4
154B,4.382352941176471,8.971384494627662,9.029411764705882
116A,4.375,17.54127784887488,14.125
452,4.3238095238095235,15.229964921227872,14.285714285714286
142A,4.222222222222222,22.247346907989826,19.77777777777778
35M,4.092783505154639,16.870883741317712,15.65979381443299
